territory,name,class,year,area
653,tis,13,1986,1271.8233122385793
654,tis,13,1987,1240.027964853102
655,tis,13,1988,1228.0431087169054
656,tis,13,1989,1210.2378011881378
657,tis,13,1990,1212.484694144287
658,tis,13,1991,1222.6632662005923
659,tis,13,1992,1225.3848081354797
660,tis,13,1993,1219.9345178593949
661,tis,13,1994,1196.9448265356878
662,tis,13,1995,1199.407039757973
663,tis,13,1996,1201.2346274117433
664,tis,13,1997,1205.1658726157896
665,tis,13,1998,1216.5753077686566
666,tis,13,1999,1245.6465761077723
667,tis,13,2000,1279.7457413523368
668,tis,13,2001,1289.949129948335
669,tis,13,2002,1285.072420284589
670,tis,13,2003,1303.378506849519
671,tis,13,2004,1324.7213309523042
672,tis,13,2005,1328.1338953484926
673,tis,13,2006,1317.9506336102106
674,tis,13,2007,1310.187622143084
675,tis,13,2008,1307.0097973542827
676,tis,13,2009,1286.6396150695323
677,tis,13,2010,1280.8357971266373
678,tis,13,2011,1278.1368199733486
679,tis,13,2012,1272.8001898409732
680,tis,13,2013,1272.5605681784743
681,tis,13,2014,1296.9022853897325
682,tis,13,2015,1294.4569987635637
683,tis,13,2016,1292.041734663938
684,tis,13,2017,1295.2831874870164
685,tis,13,2018,1286.2734353798407
686,tis,13,2019,1290.2071474763006
687,tis,13,2020,1295.3130777627443
688,tis,13,2021,1305.789274619663
689,tis,13,2022,1338.9646075110034
690,tis,13,2023,1357.4812965131966
691,tis,13,2024,1374.251384507575
692,tis,15,1985,467.6664933646855
693,tis,15,1986,512.3141949426877
694,tis,15,1987,560.5120327563468
695,tis,15,1988,608.3936622044668
696,tis,15,1989,638.270098942016
697,tis,15,1990,638.7866835736077
698,tis,15,1991,660.9467073174425
699,tis,15,1992,652.6451497504255
700,tis,15,1993,698.4597120424185
701,tis,15,1994,735.9269000422946
702,tis,15,1995,808.0919269322467
703,tis,15,1996,827.4002087520732
704,tis,15,1997,843.8909451137681
705,tis,15,1998,877.9687089700323
706,tis,15,1999,895.7261256556986
707,tis,15,2000,926.2968407325961
708,tis,15,2001,979.8773431457474
709,tis,15,2002,1006.6397262176463
710,tis,15,2003,1056.7259832971126
711,tis,15,2004,1083.3038475258666
712,tis,15,2005,1089.5207794917474
713,tis,15,2006,1095.6398459041695
714,tis,15,2007,1094.2516671901215
715,tis,15,2008,1108.4372878847025
716,tis,15,2009,1097.7998154746674
717,tis,15,2010,1105.295426408691
718,tis,15,2011,1113.3141241574738
719,tis,15,2012,1109.8406698770757
720,tis,15,2013,1154.1636153967333
721,tis,15,2014,1160.2149180903955
722,tis,15,2015,1153.938017398863
723,tis,15,2016,1146.0718640053055
724,tis,15,2017,1186.0417118101784
725,tis,15,2018,1246.7367559792413
